Vehicle_ID,Lane,Frame,Timestamp
4,2,1,0.03
1,1,1,0.03
3,1,27,0.9
14,1,30,1.0
19,2,40,1.33
20,3,42,1.4
23,1,45,1.5
25,1,48,1.6
24,1,48,1.6
5,1,52,1.73
31,2,63,2.1
30,2,63,2.1
33,1,66,2.2
38,2,76,2.53
41,2,85,2.83
42,3,86,2.87
8,1,88,2.93
45,2,98,3.27
47,2,108,3.6
55,2,127,4.23
58,2,134,4.47
59,1,135,4.5
63,2,143,4.77
40,1,182,6.07
72,1,183,6.1
73,1,187,6.23
60,1,203,6.77
82,1,208,6.93
64,1,234,7.8
106,1,254,8.47
96,2,255,8.5
109,2,257,8.57
68,1,260,8.67
119,1,270,9.0
122,2,275,9.17
123,1,278,9.27
125,2,282,9.4
128,1,291,9.7
124,2,303,10.1
132,2,307,10.23
134,2,320,10.67
94,1,320,10.67
80,1,320,10.67
136,1,324,10.8
141,2,335,11.17
110,1,346,11.53
149,2,348,11.6
156,1,357,11.9
155,1,357,11.9
157,1,358,11.93
101,2,359,11.97
162,2,366,12.2
165,1,374,12.47
168,1,378,12.6
170,1,383,12.77
171,2,385,12.83
117,1,393,13.1
121,2,410,13.67
181,2,427,14.23
142,1,445,14.83
188,2,448,14.93
189,2,450,15.0
193,1,460,15.33
196,1,467,15.57
207,1,518,17.27
210,1,528,17.6
216,1,535,17.83
217,1,539,17.97
225,1,581,19.37
234,1,582,19.4
231,1,582,19.4
235,1,592,19.73
236,1,593,19.77
240,1,598,19.93
220,1,628,20.93
198,2,650,21.67
228,1,655,21.83
257,2,661,22.03
260,1,662,22.07
264,2,671,22.37
267,2,675,22.5
269,2,692,23.07
263,2,711,23.7
277,2,716,23.87
278,1,723,24.1
293,1,736,24.53
298,1,743,24.77
302,2,756,25.2
297,1,767,25.57
314,1,782,26.07
294,1,784,26.13
319,1,793,26.43
268,1,796,26.53
322,1,803,26.77
337,1,828,27.6
339,1,833,27.77
338,2,834,27.8
343,1,835,27.83
345,3,842,28.07
351,2,847,28.23
330,1,886,29.53
375,1,901,30.03
396,2,942,31.4
405,1,958,31.93
411,1,968,32.27
417,3,978,32.6
290,2,1001,33.37
428,2,1011,33.7
433,2,1021,34.03
434,1,1023,34.1
438,1,1029,34.3
446,3,1040,34.67
447,1,1052,35.07
452,1,1056,35.2
459,1,1064,35.47
463,1,1079,35.97
470,1,1083,36.1
476,1,1088,36.27
475,2,1089,36.3
477,1,1091,36.37
485,1,1097,36.57
491,1,1107,36.9
496,1,1112,37.07
500,1,1117,37.23
514,1,1137,37.9
516,1,1141,38.03
399,1,1147,38.23
510,2,1159,38.63
455,1,1159,38.63
532,2,1179,39.3
538,3,1191,39.7
537,2,1191,39.7
539,3,1194,39.8
550,1,1219,40.63
551,2,1220,40.67
555,1,1228,40.93
553,1,1228,40.93
442,1,1239,41.3
497,1,1303,43.43
581,1,1328,44.27
552,1,1334,44.47
585,1,1337,44.57
586,3,1343,44.77
598,1,1368,45.6
599,1,1369,45.63
620,1,1386,46.2
